content,score,sentimen
"gak jelassss,, cari lokasi jemput harus susah nya minta ampun",1,negative
enak sangat memuaskan kan reccoment banget,5,positive
sangat membantu,5,positive
game bus telolet,3,neutral
aku sih ok banget pelayanan nya,5,positive
"KL pas update lama sekali padahal udh full 100% didownload tp msh blm bs dibuka, gembel banget Woy admin jangan tidur aja KL ada komplain direspon!!!!!!",2,negative
tidak boleh di upgrade,1,negative
apk nya oke,4,positive
"Kenapa limit paylater saya hilang,padahal pembayaran nya lancar...hmmmm kenapa dgn aplikasi ini,padahal sdh sangat nyaman pake aplikasi grab.",5,positive
Baik,5,positive
keluh kesah driver tolong didengarkan dan di pertimbangkan sebelum mengambil keputusan beritahu lewat Gmail dan chat aplikasi grab jika terjadi masalah diluar tindak pidana 1 lagi paling gampang ngelacak oknum driver yang berbuat kriminal jika terdaftar online,1,negative
😅lll,5,positive
"lama banget, hampir 2 jam pesanan ga sampai sampai.",1,negative
sangat membantu,5,positive
dapat driver lama sekali .,1,negative
mantap,5,positive
terbaik,5,positive
ok selamat sampai tujuan manfaat untuk sejuta umat,5,positive
Apa km kmn,5,positive
ok jos jis,5,positive
oke baik,5,positive
mantap,5,positive
"tolong, yang cekatan, untuk pihak delivery jika tidak fast respon beri sansi meskipun ringan tapi kalo di jalankan sudah cukup",1,negative
aneh produk 21+ yang ada hanya alat kontrasepsi terpampang banyak giliran roko malah gaada,1,negative
ramah bingit,5,positive
oke,5,positive
ok,5,positive
Tranportasi jasa grab sangat membantu,5,positive
"perubahan dari bintang 5 ke satu, jangan berikan alasan yang tidak pernah konsumen lakukan. payletter dinonaktifkan dengan alasan riwayat transaksi yang nyatanya penggunaan limit dengan bijak dan pembayaran kewajiban yang taat. kalau tidak paham dengan management resiko belajar lagi, bijak dalam menilai riwayat konsumen dan bijak pula dalam mengayomi konsumen. membangun branding lebih mudah ketimbang mempertahankan!",1,negative
"KLO msuk grab loading ny ngelek lama knp y apk lain mah enggak,dah gtu KLO gofood mesen apa Dateng ny apa tahu ga ada yg bner resto dpetin sanksi la bnyk yg rugi mesen GK jls",1,negative
pelayanan semakin buruk khusus nya grabcar,1,negative
bagus,5,positive
"mkch grab,sy sangat puas. .",5,positive
Pokoknya okelah,5,positive
Ramah sopan,5,positive
lambat. dan susah dibatalkan jga.,1,negative
keren,5,positive
kenapa paylater jadi cuma 1 rupiah sich....,1,negative
👌,5,positive
oke,5,positive
"GAUSAH ADA GRAB HEMAT, PERCUMA DRIVER GADA YG MAU AMBIL, FITUR FORMALITAS DOANG.. DARURAT MAU PULANG.. TAPI MALAH GAGAL MENYAMBUNGKAN SERVER BERKALI KALI.... SIALAN.",1,negative
lebih hemat dan sangat membantu kami,5,positive
"maruk bgt, pajak gede, ongkir gede, voucher gaada",2,negative
"Sekarang aplikasi grab performanya sangat menurun, kecewa pastinya.",1,negative
"banyakin voucher ya🤭💗 ini lebih bagus dari Gojek/Gofood (menurutku) voucher nya banyak, dan bisa pakai lebih dari 1 voucher, kalau di Gofood engga, cuman bisa satu",5,positive
semoga selalu menjadi pilihan yang terbaik👍💯,5,positive
ramah se x,5,positive
maaf blum paham tpi driver nya baik,5,positive
daftar untuk pembayaran melalui ovo nya susah banget dahsudah lebih 10 tetep saja g bisa,1,negative
driver ramah,5,positive
bapaknya ramah dan baik,5,positive
"keren voucher nya, mudah2an slalu ada promo",5,positive
sangat baik,5,positive
sangat membantu ketika ingin beli makanan tapi gak bisa ninggalin kerjaan.,5,positive
terbaik,5,positive
ojol grab ngelunjak. gakan down load lagi aplikasi ini,1,negative
the best,5,positive
bagusss,5,positive
Kenapa limit nya tiba tiba hilang,3,neutral
nyaman ramah,5,positive
good,5,positive
ramah cepat,5,positive
sangat jelek,1,negative
iklan aplikasi ini buat saya muakkkk sekalii,1,negative
driver nya sopan & setir mobil nya kalem,4,positive
b aja,5,positive
Kenapa Makin Mahal Ongkos Perjalanan,3,neutral
mantap,5,positive
"pastinya ada tidak benar jika hunting aplikasi melainkan build&handphone pribadi diamankan jalurnya dan sangat bagus haruskan uploaded terpercaya element componen change pribadi, lagian kemajemukan bahasa apalagi daerah belum pada componen seperti jwco",2,negative
sangat membantu,5,positive
"cukup membantu,, sedikit masukan lebih lagi ovo paylaternya di upgrade supaya bisa di buat untuk beli pulsa jga 🙏",5,positive
𝕥𝕠𝕝𝕠𝕟𝕘 𝕕𝕚 𝕡𝕖𝕣𝕓𝕒𝕚𝕜𝕒𝕟 𝕒𝕡𝕝𝕚𝕜𝕒𝕤𝕚𝕙 𝕟𝕪𝕒 𝕜𝕖𝕟𝕒𝕡𝕒 𝕜𝕠𝕜 𝕘𝕒𝕜 𝕓𝕚𝕤𝕒 𝕕𝕚 𝕓𝕦𝕜𝕒,5,positive
ok,5,positive
"daftar dipersulit, mau ambil gambar dipersulit selalu gagal.",1,negative
"penangan lambat, dan pengembalian dana tidak sesuai keinginan. masalah tidak ada solusi entah kerjanya apa CS grab ini. Tiba² limit OVO paylater jd kosong padahal bayar tepat waktu kalo kaya gini selesai bayar ini STOP pake GRAB balik ke GOJEK aja",1,negative
"tolong dong, grab paylatter saya dari 6jt kenapa berkurang jd 100 rb. padahal pembayaran saya tidak pernah telat. tiba-tiba limit saya jd 100rb",5,positive
app bodoh nggak bisa baca verifikasi wajah,1,negative
"aplikasi sangat membantu,tapi KLO salah pesan gak bisa dibatalin,baru salah klik mau dibatalin tapi gak bisa ..tolong dong diaplikasi harus nya ada batalin pesanan,jangan cuma dari pengemudi",3,neutral
"aplikasi perlu dirumbak semua. ruwet. resto tutup, driver gk bisa batali, resto , lemot batalin kadang gk dibatalin",1,negative
baik,4,positive
aplikasinya bagus banget,5,positive
"Sangat membantu sekali aplikasi ini buat ibu2 IRT apalagi yg ga punya kendaraan d rmh krn terpakai sma buat kerja jd kl butuh makanan ataupun ojek tinggal pencet2 aj ,makanan belanjaan maupun ojeknya udah smpai aj d dpn rmh 🤭 promo & discon2nyapun sangat membantu tidak berat d ongkir & pembiayaannya ...masyaallah tp sygnya aq ga bs ikutan d paylaternya krn nopeku udah terdaftar d aplikasi ovo lainnya katanya & hrs d matikan salah satu 😩 tp is ok lah ga pa2 NTI malah TUMAN sll hutang trs 😊✌️",5,positive
grab the best 👍👍,5,positive
"Sedikit2, Selalu minta up date. makasih 🙏",4,positive
grab bagus tapi ada satu hal yang harus diperbaiki maps y ituloh bikin darting saya harap sih cepat diperbaiki,4,positive
sangat baik,5,positive
alus,5,positive
gampang dan cepat,5,positive
good,5,positive
sangat nyaman,4,positive
Google Acount keren semua nya bisa di satu Aplkkasi,5,positive
Alhamdulillah berkat aplikasi ini saya bisa terbantu,5,positive
bagus banget,5,positive
"masih banyakk bug error diaplikasi nyaaa, TOLONG OPTIMALISASI LAGII",1,negative
pertahankan pelayanan yang baik 👍,5,positive
mana promonya,5,positive
iklan dimana2,1,negative
baik,5,positive
mantap,5,positive
good,5,positive
"lumayan bagus layannya, semoga tambah maju aplkasi grab.",5,positive
bagus tetap pertahankan ketepatan waktu dan komunikasi,5,positive
sangat baik,5,positive
"harus lebih berhati"" lg 🙏",5,positive
saya puas pelayanan anda.,5,positive
Alhamdulillah nyaman ramah trimakasih 🙏☺️,5,positive
👍👍👍,5,positive
bagus saat digunakan,5,positive
sangat mudah aplikasinya dan cepat dpt ojol ya.. good,5,positive
mudah nlancar,5,positive
bagus,5,positive
menugu lama,5,positive
"saya fonis ambil keputusan aja untuk aplikasi grab konsumen bintang 1🌟 aja ,,masih kurangnya promo grab food ,grab bike ,grab car ,,!!! kalu sudah completed baru saya kasih 5 bintang ,gak jelas lagi ovo paylater nya hilang di telan bumi di aplikasi, udah ada limit saya sebagian sudah di gunakan weee sisahnya kok menghilang di telan bumi ,,,parah grab/ovo!!!👎🏿👎🏿👎🏿",1,negative
good job,5,positive
gercep,5,positive
